engine_name,retrieval_mode,top_k,category,total,hits,hit_rate,mrr,index_coverage,misses
rag_vector_bm25,vector_bm25,1,Computer Vision,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,1,Data Processing,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,1,Deep Learning,2,0,0.0,0.0,0.0,2
rag_vector_bm25,vector_bm25,1,Interpretability,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,1,MLOps,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,1,Machine Learning,4,0,0.0,0.0,0.0,4
rag_vector_bm25,vector_bm25,1,NLP,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,1,Numerical Computing,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,1,Visualization,2,0,0.0,0.0,0.0,2
rag_vector_bm25,vector_bm25,1,Web Scraping,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,3,Computer Vision,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,3,Data Processing,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,3,Deep Learning,2,0,0.0,0.0,0.0,2
rag_vector_bm25,vector_bm25,3,Interpretability,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,3,MLOps,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,3,Machine Learning,4,0,0.0,0.0,0.0,4
rag_vector_bm25,vector_bm25,3,NLP,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,3,Numerical Computing,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,3,Visualization,2,0,0.0,0.0,0.0,2
rag_vector_bm25,vector_bm25,3,Web Scraping,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,5,Computer Vision,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,5,Data Processing,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,5,Deep Learning,2,0,0.0,0.0,0.0,2
rag_vector_bm25,vector_bm25,5,Interpretability,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,5,MLOps,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,5,Machine Learning,4,0,0.0,0.0,0.0,4
rag_vector_bm25,vector_bm25,5,NLP,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,5,Numerical Computing,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,5,Visualization,2,0,0.0,0.0,0.0,2
rag_vector_bm25,vector_bm25,5,Web Scraping,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,10,Computer Vision,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,10,Data Processing,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,10,Deep Learning,2,0,0.0,0.0,0.0,2
rag_vector_bm25,vector_bm25,10,Interpretability,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,10,MLOps,1,0,0.0,0.0,0.0,1
rag_vector_bm25,vector_bm25,10,Machine Learning,4,0,0.0,0.0,0.0,4
